product_id,category,year_month,listed_price_usd,base_price_usd,competitor_price_usd,price_index,is_promotional,price_elasticity,units_sold,revenue_usd,margin_pct
PROD0001,Books,2022-01,25.82,25.82,26.65,1.0,False,-1.09,3,74.88,0.35
PROD0001,Books,2022-02,25.82,25.82,28.72,1.0,False,-1.09,1,24.53,0.35
PROD0001,Books,2022-03,25.82,25.82,23.97,1.0,False,-1.09,4,100.7,0.35
PROD0001,Books,2022-04,21.96,25.82,18.78,0.851,True,-1.09,6,145.89,0.236
PROD0001,Books,2022-05,25.82,25.82,26.05,1.0,False,-1.09,13,311.13,0.35
PROD0001,Books,2022-06,25.82,25.82,24.25,1.0,False,-1.09,12,294.35,0.35
PROD0001,Books,2022-07,27.08,25.82,29.51,1.049,False,-1.09,4,100.7,0.38
PROD0001,Books,2022-08,25.16,25.82,23.53,0.974,False,-1.09,13,325.34,0.333
PROD0001,Books,2022-09,25.16,25.82,25.03,0.974,False,-1.09,8,200.11,0.333
PROD0001,Books,2022-10,26.73,25.82,27.61,1.035,False,-1.09,22,555.14,0.372
PROD0001,Books,2022-11,26.73,25.82,25.16,1.035,False,-1.09,8,206.56,0.372
PROD0001,Books,2022-12,26.73,25.82,22.75,1.035,False,-1.09,22,522.87,0.372
PROD0001,Books,2023-01,26.73,25.82,25.98,1.035,False,-1.09,10,238.84,0.372
PROD0001,Books,2023-02,22.98,25.82,21.37,0.89,True,-1.09,7,170.41,0.27
PROD0001,Books,2023-03,26.73,25.82,24.54,1.035,False,-1.09,5,112.32,0.372
PROD0001,Books,2023-04,26.73,25.82,26.72,1.035,False,-1.09,8,192.37,0.372
PROD0001,Books,2023-05,26.73,25.82,24.47,1.035,False,-1.09,8,196.23,0.372
PROD0001,Books,2023-06,26.73,25.82,22.82,1.035,False,-1.09,0,0.0,0.372
PROD0001,Books,2023-07,26.73,25.82,28.38,1.035,False,-1.09,12,290.49,0.372
PROD0001,Books,2023-08,26.73,25.82,26.48,1.035,False,-1.09,26,653.25,0.372
PROD0001,Books,2023-09,26.73,25.82,29.83,1.035,False,-1.09,4,92.96,0.372
PROD0001,Books,2023-10,22.7,25.82,19.53,0.879,True,-1.09,7,165.25,0.261
PROD0001,Books,2023-11,26.73,25.82,29.03,1.035,False,-1.09,9,223.35,0.372
PROD0001,Books,2023-12,26.73,25.82,27.13,1.035,False,-1.09,32,782.35,0.372
PROD0001,Books,2024-01,21.25,25.82,18.09,0.823,True,-1.09,11,260.78,0.21
PROD0001,Books,2024-02,26.73,25.82,26.06,1.035,False,-1.09,6,154.92,0.372
PROD0001,Books,2024-03,26.73,25.82,28.05,1.035,False,-1.09,1,25.82,0.372
PROD0001,Books,2024-04,27.96,25.82,31.22,1.083,False,-1.09,2,50.35,0.4
PROD0001,Books,2024-05,27.96,25.82,24.96,1.083,False,-1.09,2,51.64,0.4
PROD0001,Books,2024-06,30.79,25.82,32.08,1.192,False,-1.09,2,49.06,0.455
PROD0001,Books,2024-07,26.09,25.82,29.08,1.01,True,-1.09,8,192.36,0.357
PROD0001,Books,2024-08,30.79,25.82,33.08,1.192,False,-1.09,11,255.61,0.455
PROD0001,Books,2024-09,26.02,25.82,23.01,1.008,True,-1.09,2,41.32,0.355
PROD0001,Books,2024-10,30.79,25.82,31.6,1.192,False,-1.09,5,126.52,0.455
PROD0001,Books,2024-11,30.79,25.82,35.07,1.192,False,-1.09,11,259.49,0.455
PROD0001,Books,2024-12,30.79,25.82,27.81,1.192,False,-1.09,16,393.76,0.455
PROD0002,Clothing,2022-01,108.37,108.37,94.17,1.0,False,-0.94,11,1078.29,0.55
PROD0002,Clothing,2022-02,108.37,108.37,111.68,1.0,False,-0.94,9,975.33,0.55
PROD0002,Clothing,2022-03,108.37,108.37,123.73,1.0,False,-0.94,4,400.96,0.55
PROD0002,Clothing,2022-04,108.37,108.37,110.31,1.0,False,-0.94,9,856.12,0.55
PROD0002,Clothing,2022-05,108.37,108.37,111.97,1.0,False,-0.94,8,861.54,0.55
PROD0002,Clothing,2022-06,108.37,108.37,101.45,1.0,False,-0.94,6,644.8,0.55
PROD0002,Clothing,2022-07,108.37,108.37,118.34,1.0,False,-0.94,19,1972.33,0.55
PROD0002,Clothing,2022-08,108.37,108.37,111.73,1.0,False,-0.94,17,1739.34,0.55
PROD0002,Clothing,2022-09,98.72,108.37,84.36,0.911,False,-0.94,13,1408.81,0.506
PROD0002,Clothing,2022-10,98.72,108.37,101.33,0.911,False,-0.94,5,514.75,0.506
PROD0002,Clothing,2022-11,98.72,108.37,96.53,0.911,False,-0.94,5,531.01,0.506
PROD0002,Clothing,2022-12,98.72,108.37,101.65,0.911,False,-0.94,9,921.15,0.506
PROD0002,Clothing,2023-01,98.72,108.37,95.76,0.911,False,-0.94,10,991.58,0.506
PROD0002,Clothing,2023-02,95.35,108.37,105.7,0.88,False,-0.94,7,726.08,0.489
PROD0002,Clothing,2023-03,95.35,108.37,92.78,0.88,False,-0.94,15,1549.69,0.489
PROD0002,Clothing,2023-04,95.35,108.37,84.62,0.88,False,-0.94,10,986.16,0.489
PROD0002,Clothing,2023-05,95.35,108.37,100.74,0.88,False,-0.94,2,216.74,0.489
PROD0002,Clothing,2023-06,95.35,108.37,88.33,0.88,False,-0.94,4,368.46,0.489
PROD0002,Clothing,2023-07,70.33,108.37,62.9,0.649,True,-0.94,2,211.32,0.307
PROD0002,Clothing,2023-08,95.35,108.37,97.63,0.88,False,-0.94,13,1360.04,0.489
PROD0002,Clothing,2023-09,95.35,108.37,91.49,0.88,False,-0.94,5,520.18,0.489
PROD0002,Clothing,2023-10,95.35,108.37,103.6,0.88,False,-0.94,8,834.44,0.489
PROD0002,Clothing,2023-11,92.21,108.37,101.18,0.851,False,-0.94,1,86.7,0.471
PROD0002,Clothing,2023-12,92.21,108.37,83.35,0.851,False,-0.94,9,921.15,0.471
PROD0002,Clothing,2024-01,92.21,108.37,79.89,0.851,False,-0.94,9,937.39,0.471
PROD0002,Clothing,2024-02,101.68,108.37,101.94,0.938,False,-0.94,1,97.53,0.52
PROD0002,Clothing,2024-03,101.68,108.37,102.76,0.938,False,-0.94,14,1457.57,0.52
